Identifier,skos:prefLabel@en,skos:definition@en,"skos:altLabel(separator="","")","dct:source(separator="","")","skos:broader(separator="","")","skos:exactMatch(separator="","")","skos:closeMatch(separator="","")",skos:editorialNote@en,"dct:creator(separator="","")","dct:contributor(separator="","")",purl_target,
datacite:Cites,Cites,indicates that A includes B in a citation,,,datacite:relationType,,,,,,,
datacite:IsSupplementTo,IsSupplementTo,indicates that A is a supplement to B,,,datacite:relationType,,,,,,,
datacite:IsSupplementedBy,IsSupplementedBy,indicates that B is a supplement to A,,,datacite:relationType,,,,,,,
datacite:IsContinuedBy,IsContinuedBy,indicates A is continued by the work B,,,datacite:relationType,,,,,,,
datacite:Continues,Continues,indicates A is a continuation of the work B,,,datacite:relationType,,,,,,,
datacite:Describes,Describes,indicates A describes B,,,datacite:relationType,,,,,,,
datacite:IsDescribedBy,IsDescribedBy,indicates A is described by B,,,datacite:relationType,,,,,,,
datacite:HasMetadata,HasMetadata,indicates resource A has additional metadata B,,,datacite:relationType,,,,,,,
datacite:IsMetadataFor,IsMetadataFor,indicates additional metadata A for a resource B,,,datacite:relationType,,,,,,,
datacite:HasVersion,HasVersion,indicates A has a version B,,,datacite:relationType,,,,,,,
datacite:IsVersionOf,IsVersionOf,"indicates A is a version of B
",,,datacite:relationType,,,,,,,
datacite:IsNewVersionOf,IsNewVersionOf,"indicates A is a new edition of B, where the new edition has been modified or updated",,,datacite:relationType,,,,,,,
datacite:IsPreviousVersionOf,IsPreviousVersion Of,indicates A is a previous edition of B,,,datacite:relationType,,,,,,,
datacite:IsPartOf,IsPartOf,indicates A is a portion of B; may be used for elements of a series,,,datacite:relationType,,,,,,,
datacite:HasPart,HasPart,indicates A includes the part B,,,datacite:relationType,,,,,,,
datacite:IsPublishedIn,IsPublishedIn,"indicates A is published inside B, but is independent of other things published inside of B",,,datacite:relationType,,,,,,,
datacite:IsReferencedBy,IsReferencedBy,indicates A is used as a source of information by B,,,datacite:relationType,,,,,,,
datacite:References,References,indicates B is used as a source of information for A,,,datacite:relationType,,,,,,,
datacite:IsDocumentedBy,IsDocumentedBy,indicates B is documentation about/explaining A,,,datacite:relationType,,,,,,,
datacite:Documents,Documents,indicates A is documentation about/explaining B,,,datacite:relationType,,,,,,,
datacite:IsCompiledBy,IsCompiledBy,indicates B is used to compile or create A,,,datacite:relationType,,,,,,,
datacite:Compiles,Compiles,"indicates B is the result of a compile or creation event using A
",,,datacite:relationType,,,,,,,
